State,County,TotalPop
Kentucky,Boyd,48917
Kentucky,Boyle,29388
Kentucky,Bracken,8425
Kentucky,Breathitt,13591
Kentucky,Breckinridge,20061
Kentucky,Bullitt,76961
Kentucky,Butler,12835
Kentucky,Caldwell,12826
Kentucky,Calloway,38106
Kentucky,Campbell,91475
Kentucky,Carlisle,4984
Kentucky,Carroll,10830
Kentucky,Carter,27326
Kentucky,Casey,15954
Kentucky,Christian,74159
Kentucky,Clark,35657
Kentucky,Clay,21300
Kentucky,Clinton,10188
Kentucky,Crittenden,9222
Kentucky,Cumberland,6807
Kentucky,Daviess,98173
Kentucky,Edmonson,12105
Kentucky,Elliott,7725
Kentucky,Estill,14476
Kentucky,Fayette,308306
Kentucky,Fleming,14544
Kentucky,Floyd,38649
Kentucky,Franklin,49778
Kentucky,Fulton,6422
Kentucky,Gallatin,8567
Kentucky,Garrard,16976
Kentucky,Grant,24670
Kentucky,Graves,37502
Kentucky,Grayson,26001
Kentucky,Green,11149
Kentucky,Greenup,36477
Kentucky,Hancock,8669
Kentucky,Hardin,107529
Kentucky,Harlan,28400
Kentucky,Harrison,18648
Kentucky,Hart,18441
Kentucky,Henderson,46396
Kentucky,Henry,15455
Kentucky,Hickman,4720
Kentucky,Hopkins,46518
Kentucky,Jackson,13357
Kentucky,Jefferson,755809
Kentucky,Jessamine,50328
Kentucky,Johnson,23350
Kentucky,Kenton,163007
Kentucky,Knott,16000
Kentucky,Knox,31809
Kentucky,Larue,14149
Kentucky,Laurel,59751
Kentucky,Lawrence,15821
Kentucky,Lee,7119
Kentucky,Leslie,10997
Kentucky,Letcher,23671
Kentucky,Lewis,13790
